PlateID,CellLine,Replicate,PlateLayout,control,treatment,ks_stat,ks_pval,ks_qval,is_significant_0.05,is_significant_0.1
12492,C2C12,1,P1,control_neg_mimic,hsa-miR-30e-3p,0.10706095139146443,9.888477592077162e-10,6.990745149445526e-09,True,True
12492,C2C12,1,P1,control_neg_mimic,hsa-miR-30e-5p,0.07635281733751142,0.001938433860929553,0.0034207656369345052,True,True
12492,C2C12,1,P1,control_neg_mimic,hsa-miR-34a-5p,0.008876589021774225,0.8541316645898935,0.8735437478760275,False,False
12492,C2C12,1,P1,control_neg_mimic,hsa-miR-34c-5p,0.09004578074733977,7.27003303804428e-07,2.726262389266605e-06,True,True
12492,C2C12,1,P1,control_neg_mimic,hsa-miR-92b-3p,0.048007200505414516,0.008423849275139492,0.012849939572246682,False,True
12492,C2C12,1,P1,control_neg_mimic,hsa-miR-93-5p,0.010062767311954074,0.8003533235406343,0.8337666250709496,False,False
12492,C2C12,1,P1,control_neg_mimic,hsa-miR-96-5p,0.014632053848640525,0.6392655597422782,0.6890287470276052,False,False
12492,C2C12,1,P1,control_neg_mimic,hsa-miR-98-5p,0.08270086523844877,9.518360760609712e-07,3.426609873819496e-06,True,True
12492,C2C12,1,P1,control_neg_mimic,hsa-miR-99a-5p,0.04780260801362313,0.014801144108036885,0.02148553176973096,False,True
12492,C2C12,1,P1,control_neg_mimic,hsa-miR-99b-5p,0.006080255506062865,0.9312431336921471,0.941706539688688,False,False
12492,C2C12,1,P1,control_neg_mimic,hsa-miR-100-5p,0.031806187464749225,0.12511928982348525,0.15532049771191273,False,False
12492,C2C12,1,P1,control_neg_mimic,hsa-miR-103a-3p,0.06061834090480833,0.0006672191958391744,0.001334438391678349,True,True
12492,C2C12,1,P1,control_neg_mimic,hsa-miR-106b-5p,0.03502790061155048,0.08583736474161112,0.11036232609635716,False,False
12492,C2C12,1,P1,control_neg_mimic,hsa-miR-107,0.014004547232509046,0.6625184220757394,0.7098411665097207,False,False
12492,C2C12,1,P1,control_neg_mimic,hsa-miR-122-5p,0.1612805478538854,2.6506470332165123e-23,1.1927911649474305e-21,True,True
12492,C2C12,1,P1,control_neg_mimic,hsa-miR-124-3p,0.01004640347323793,0.8066948511104078,0.8345119149418012,False,False
12492,C2C12,1,P1,control_neg_mimic,hsa-miR-124-5p,0.03296834999238696,0.2530637074253857,0.2951410023039953,False,False
12492,C2C12,1,P1,control_neg_mimic,hsa-miR-125b-5p,0.07010021148922277,0.0001903568241679007,0.00044498997857431334,True,True
12492,C2C12,1,P1,control_neg_mimic,hsa-miR-126-5p,0.03053420889075581,0.13006437543397192,0.16035333957612977,False,False
12492,C2C12,1,P1,control_neg_mimic,hsa-miR-127-3p,0.04602860426258831,0.016523419795315877,0.0233649191898479,False,True
12492,C2C12,1,P1,control_neg_mimic,hsa-miR-129-2-3p,0.08010061892101039,2.647953033765257e-06,8.217785277202522e-06,True,True
12492,C2C12,1,P1,control_neg_mimic,hsa-miR-129-5p,0.13414016900785086,2.3196287754918775e-16,4.17533179588538e-15,True,True
12492,C2C12,1,P1,control_neg_mimic,hsa-miR-130a-3p,0.06030566373812807,0.0007161906041836218,0.0014166407555280432,True,True
12492,C2C12,1,P1,control_neg_mimic,hsa-miR-130b-3p,0.08422765019208844,1.5689021475911229e-06,5.32834691634721e-06,True,True
12492,C2C12,1,P1,control_neg_mimic,hsa-miR-132-3p,0.1963596112816603,5.8539087907531135e-30,5.268517911677802e-28,True,True
12492,C2C12,1,P1,control_neg_mimic,hsa-miR-133a-3p,0.049851125606659885,0.005388701353733019,0.008660412889928066,True,True
12492,C2C12,1,P1,control_neg_mimic,hsa-miR-133b,0.044669118686364584,0.027881196466809963,0.03773395010545709,False,True
12492,C2C12,1,P1,control_neg_mimic,hsa-miR-134-5p,0.09322871226859009,6.830691954675526e-08,3.616248681887043e-07,True,True
12492,C2C12,1,P1,control_neg_mimic,hsa-miR-135a-5p,0.0887818899900184,4.6393117757250897e-07,1.8557247102900359e-06,True,True
12492,C2C12,1,P1,control_neg_mimic,hsa-miR-137,0.0852989992533027,2.960564112360573e-07,1.211139864147507e-06,True,True
12492,C2C12,1,P1,control_neg_mimic,hsa-miR-140-5p,0.0922701313871091,5.827671894463298e-08,3.2780654406356054e-07,True,True
12492,C2C12,1,P1,control_neg_mimic,hsa-miR-141-3p,0.08990329438218891,5.165492129316295e-07,2.021279528862898e-06,True,True
12492,C2C12,1,P1,control_neg_mimic,hsa-miR-142-3p,0.08342184912340811,1.0581180438409817e-06,3.7345342723799356e-06,True,True
12492,C2C12,1,P1,control_neg_mimic,hsa-miR-142-5p,0.1422924730252773,3.278226619080905e-15,3.6880049464660183e-14,True,True
12492,C2C12,1,P1,control_neg_mimic,hsa-miR-143-3p,0.15618372777429518,5.266862975477013e-16,7.292579504506634e-15,True,True
12492,C2C12,1,P1,control_neg_mimic,hsa-miR-144-3p,0.08418208437408192,1.618568647027994e-06,5.395228823426647e-06,True,True
12492,C2C12,1,P1,control_neg_mimic,hsa-miR-146a-5p,0.1043788299416164,5.655906224733313e-10,4.241929668549985e-09,True,True
12492,C2C12,1,P1,control_neg_mimic,hsa-miR-146b-5p,0.03509605808752969,0.08466673519381855,0.10964037650998085,False,False
12492,C2C12,1,P1,control_neg_mimic,hsa-miR-148a-3p,0.053950273405168836,0.005238167019142887,0.008571546031324723,True,True
12492,C2C12,1,P1,control_neg_mimic,hsa-miR-148b-3p,0.061470373297788206,0.0007407022944312111,0.0014492001412784565,True,True
12492,C2C12,1,P1,control_neg_mimic,hsa-miR-150-5p,0.029887793285848285,0.15476986187136785,0.18823361578950146,False,False
12492,C2C12,1,P1,control_neg_mimic,hsa-miR-153-3p,0.13649682428447085,3.242460564870193e-16,5.192616968436547e-15,True,True
12492,C2C12,1,P1,control_neg_mimic,hsa-miR-154-3p,0.07788811993604439,0.00011194624832711544,0.0002760318451901477,True,True
12492,C2C12,1,P1,control_neg_mimic,hsa-miR-154-5p,0.047198569842045845,0.011655625056081297,0.017196823853234698,False,True
12492,C2C12,1,P1,control_neg_mimic,hsa-miR-181a-3p,0.034203675888039076,0.11787806647122503,0.1473475830890313,False,False
12492,C2C12,1,P1,control_neg_mimic,hsa-miR-181a-5p,0.055168974814434835,0.0011181164876823788,0.0020536833447227366,True,True
12492,C2C12,1,P1,control_neg_mimic,hsa-miR-181c-5p,0.08805796065829574,1.0222947433331238e-07,4.973325778377359e-07,True,True
12492,C2C12,1,P1,control_neg_mimic,hsa-miR-184,0.05671726845593106,0.0008778772299676115,0.001699117219292151,True,True
12492,C2C12,1,P1,control_neg_mimic,hsa-miR-187-3p,0.08126714267760693,7.074914570757786e-06,2.054007456026454e-05,True,True
12492,C2C12,1,P1,control_neg_mimic,hsa-miR-190a-5p,0.020914541611136483,0.4274713980326152,0.4691759246699435,False,False
12492,C2C12,1,P1,control_neg_mimic,hsa-miR-192-5p,0.09927410706920725,4.676051907650671e-08,2.805631144590403e-07,True,True
12492,C2C12,1,P1,control_neg_mimic,hsa-miR-193a-3p,0.03189743293782893,0.11539495667814702,0.1452523930214438,False,False
12492,C2C12,1,P1,control_neg_mimic,hsa-miR-194-5p,0.08532301969330491,2.75573007082025e-06,8.40731208046856e-06,True,True
12492,C2C12,1,P1,control_neg_mimic,hsa-miR-195-5p,0.09167520959509662,6.302266829393271e-08,3.4376000887599664e-07,True,True
12492,C2C12,1,P1,control_neg_mimic,hsa-miR-196a-5p,0.026519155120347748,0.2785378096238455,0.31934271167065087,False,False
12492,C2C12,1,P1,control_neg_mimic,hsa-miR-199a-5p,0.03779064587973277,0.07853436154314916,0.10243612375193369,False,False
